Manuf_Year,Brand,Model,Variant,Driver_KM,Fuel,Transmission,Location,Price
2021,Honda,City ,ZX CVT,9000.00,Petrol,Automatic,New Delhi,1575000
2016,Mercedes-Benz,GLS ,350d 4MATIC,40000.00,Diesel,Automatic,New Delhi,6100000
2016,Tata,Tiago ,1.2 Revotron XZ,50000.00,Petrol,Manual,New Delhi,391000
2014,Toyota,Fortuner ,4x4 MT,125000.00,Diesel,Manual,New Delhi,1475000
2020,Mahindra,Scorpio ,S3 Plus,15000.00,Diesel,Manual,New Delhi,1250000
2013,Maruti,Swift ,ZDi,39677.00,Diesel,Manual,New Delhi,375000
2014,Honda,Brio ,S MT,42000.00,Petrol,Manual,New Delhi,300000
2017,BMW,3 Series,Sport,40000.00,Diesel,Automatic,New Delhi,2600000
2011,Honda,City ,1.5 S MT,78000.00,Petrol,Manual,New Delhi,345000
2016,Honda,City ,i DTec V,61000.00,Diesel,Manual,New Delhi,675000
2021,Mercedes-Benz,A-Class Limousine,A 200,1200.00,Petrol,Automatic,New Delhi,4400000
2013,Honda,Brio ,S MT,60000.00,Petrol,Manual,New Delhi,325000
2011,Nissan,Micra ,XV,65000.00,Petrol,Manual,New Delhi,225000
2019,Jaguar,XF ,2.0 Diesel Prestige,9000.00,Diesel,Automatic,New Delhi,4350000
2015,Hyundai,i20 Active,S Petrol,29000.00,Petrol,Manual,New Delhi,500000
2014,Honda,Brio ,VX O AT,52000.00,Petrol,Automatic,New Delhi,375000
2015,Audi,A6 ,35 TDI,60000.00,Diesel,Automatic,New Delhi,2300000
2017,Jeep,Compass ,1.4 Longitude Option,70000.00,Petrol,Automatic,New Delhi,1400000
2019,Toyota,Fortuner ,2.8 4WD AT,28000.00,Diesel,Automatic,New Delhi,3650000
2014,Mahindra,XUV500 ,W8 2WD,99000.00,Diesel,Manual,New Delhi,590000
2017,Maruti,Swift ,VDI BSIV,72000.00,Diesel,Manual,New Delhi,435000
2016,Mahindra,KUV 100,mFALCON D75 K4,47000.00,Diesel,Manual,New Delhi,285000
2016,Mahindra,TUV 300,T4 Plus,57000.00,Diesel,Manual,New Delhi,465000
2021,MG,Hector Plus,Sharp CVT,16000.00,Petrol,Automatic,New Delhi,2050000
2015,Audi,A3 ,35 TDI Premium Plus,60000.00,Diesel,Automatic,New Delhi,1450000
2014,Toyota,Fortuner ,4x2 AT,85000.00,Diesel,Automatic,New Delhi,1490000
2017,Toyota,Innova Crysta,2.7 GX MT BSIV,7900.00,Petrol,Manual,New Delhi,1400000
2017,Maruti,Celerio ,ZXI AMT Optional,43000.00,Petrol,Automatic,New Delhi,395000
2020,Maruti,Baleno ,Delta,6500.00,Petrol,Manual,New Delhi,670000
2014,Hyundai,Santa Fe,4WD AT,124000.00,Diesel,Automatic,New Delhi,1200000
2007,Maruti,SX4 ,ZXI MT BSIV,95000.00,Petrol,Manual,New Delhi,120000
2008,Mercedes-Benz,C-Class ,C 200 Avantgarde Edition C,37000.00,Petrol,Automatic,New Delhi,499000
2014,Maruti,Swift Dzire,ZDI,120000.00,Diesel,Manual,New Delhi,350000
2014,Honda,City ,i DTec VX,59000.00,Diesel,Manual,New Delhi,575000
2016,Audi,A4 ,3.0 TDI Quattro,45000.00,Diesel,Automatic,New Delhi,1650000
